level1,level2,pattern,weight
liwc,affect,benevolen*,1
liwc,affect,benign*,1
liwc,affect,best,1
liwc,affect,better,1
liwc,affect,bitch*,1
liwc,affect,bitter*,1
liwc,affect,blam*,1
liwc,affect,bless*,1
liwc,affect,bold*,1
liwc,affect,bonus*,1
liwc,affect,bore*,1
liwc,affect,boring,1
liwc,affect,bother*,1
liwc,affect,brave*,1
liwc,affect,bright*,1
liwc,affect,brillian*,1
liwc,affect,broke,1
liwc,affect,brutal*,1
liwc,affect,burden*,1
liwc,affect,calm*,1
liwc,affect,care,1
liwc,affect,cared,1
liwc,affect,carefree,1
liwc,affect,careful*,1
liwc,affect,careless*,1
liwc,affect,cares,1
liwc,affect,caring,1
liwc,affect,casual,1
liwc,affect,casually,1
liwc,affect,certain*,1
liwc,affect,challeng*,1
liwc,affect,champ*,1
liwc,affect,charit*,1
liwc,affect,charm*,1
liwc,affect,cheat*,1
liwc,affect,cheer*,1
liwc,affect,cherish*,1
liwc,affect,chuckl*,1
liwc,affect,clever*,1
liwc,affect,comed*,1
liwc,affect,comfort*,1
liwc,affect,commitment*,1
liwc,affect,compassion*,1
liwc,affect,complain*,1
liwc,affect,compliment*,1
liwc,affect,concerned,1
liwc,affect,confidence,1
liwc,affect,confident,1
liwc,affect,confidently,1
liwc,affect,confront*,1
liwc,affect,confus*,1
liwc,affect,considerate,1
liwc,affect,contempt*,1
liwc,affect,contented*,1
liwc,affect,contentment,1
liwc,affect,contradic*,1
liwc,affect,convinc*,1
liwc,affect,cool,1
liwc,affect,courag*,1
liwc,affect,crap,1
liwc,affect,crappy,1
liwc,affect,craz*,1
liwc,affect,create*,1
liwc,affect,creati*,1
liwc,affect,credit*,1
liwc,affect,cried,1
liwc,affect,cries,1
liwc,affect,critical,1
liwc,affect,critici*,1
liwc,affect,crude*,1
liwc,affect,cruel*,1
liwc,affect,crushed,1
liwc,affect,cry,1
liwc,affect,crying,1
liwc,affect,cunt*,1
liwc,affect,cut,1
liwc,affect,cute*,1
liwc,affect,cutie*,1
liwc,affect,cynic,1
liwc,affect,damag*,1
liwc,affect,damn*,1
liwc,affect,danger*,1
liwc,affect,daring,1
liwc,affect,darlin*,1
liwc,affect,daze*,1
liwc,affect,dear*,1
liwc,affect,decay*,1
liwc,affect,defeat*,1
liwc,affect,defect*,1
liwc,affect,defenc*,1
liwc,affect,defens*,1
liwc,affect,definite,1
liwc,affect,definitely,1
liwc,affect,degrad*,1
liwc,affect,delectabl*,1
liwc,affect,delicate*,1
liwc,affect,delicious*,1
liwc,affect,deligh*,1
liwc,affect,depress*,1
liwc,affect,depriv*,1
liwc,affect,despair*,1
liwc,affect,desperat*,1
liwc,affect,despis*,1
liwc,affect,destroy*,1
liwc,affect,destruct*,1
liwc,affect,determina*,1
liwc,affect,determined,1
liwc,affect,devastat*,1
liwc,affect,devil*,1
liwc,affect,devot*,1
liwc,affect,difficult*,1
liwc,affect,digni*,1
liwc,affect,disadvantage*,1
liwc,affect,disagree*,1
liwc,affect,disappoint*,1
liwc,affect,disaster*,1
liwc,affect,discomfort*,1
liwc,affect,discourag*,1
liwc,affect,disgust*,1
liwc,affect,dishearten*,1
liwc,affect,disillusion*,1
liwc,affect,dislike,1
liwc,affect,disliked,1
liwc,affect,dislikes,1
liwc,affect,disliking,1
